numPairs,hfInsert,hfQuery,cuInsert,cuQuery,thSort,thSearch
50000000,0.2004,0.0993,0.3869,0.1273,0.0772,0.5398
100000000,0.4354,0.2188,0.7542,0.3150,0.1537,2.2461
150000000,0.6749,0.3497,1.1086,0.5030,0.2302,4.0323
200000000,0.9365,0.4953,1.4879,0.6912,0.3066,5.8707
250000000,1.1867,0.6282,1.8582,0.8795,0.3836,7.7224
300000000,2.1891,1.1502,3.8467,1.8189,0.4593,9.6209
350000000,3.8637,1.9742,7.6008,3.7405,0.5374,11.5428
400000000,5.5031,2.7784,11.2475,5.6178,0.6123,13.4687
450000000,7.2277,3.6491,14.8515,7.5735,0.6886,15.4005
500000000,8.9526,4.5083,18.6180,9.5599,0.7654,17.3300
