50000000,0.2001,0.0993,0.3867,0.1273,0.0772,0.5398,0.1839,0.0967,0.1144,0.095
100000000,0.4353,0.2189,0.7541,0.315,0.1537,2.2461,0.3941,0.2036,0.2288,0.2163
150000000,0.6747,0.3498,1.109,0.503,0.2301,4.0323,0.6103,0.3177,0.3548,0.3364
200000000,0.9362,0.4954,1.4879,0.6912,0.3067,5.8708,1.2452,0.4343,0.7649,0.699
250000000,1.1865,0.6277,1.8579,0.8795,0.3837,7.7225,2.8037,0.5547,1.9284,1.8638
300000000,2.1919,0.7508,3.8462,1.8185,0.4594,9.621,4.4549,0.6777,3.1681,3.0824
350000000,3.8617,0.8973,7.5988,3.7395,0.5372,11.5427,6.1602,0.8047,4.4386,4.328
400000000,5.5049,1.0319,11.2517,5.6198,0.6125,13.4687,7.9337,0.9302,5.1608,5.0989
450000000,7.2238,1.1829,14.8586,7.5769,0.6886,15.4008,,,,
500000000,8.955,1.3308,18.6129,9.557,0.7654,17.3298,,,,
